name,date,comments,category,notifications
Work Task,22-11-2024 15:13,Task details,Work,Email
Personal Task,22-11-2024 15:13,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,22-11-2024 15:15,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,22-11-2024 15:15,Task details,Work,Email
Personal Task,22-11-2024 15:15,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,22-11-2024 15:15,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,22-11-2024 15:15,Task details,Work,Email
Personal Task,22-11-2024 15:15,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,22-11-2024 15:18,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,22-11-2024 15:18,Task details,Work,Email
Personal Task,22-11-2024 15:18,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 16:34,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 16:34,Task details,Work,Email
Personal Task,24-11-2024 16:34,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 16:37,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 16:37,Task details,Work,Email
Personal Task,24-11-2024 16:37,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 16:41,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 16:41,Task details,Work,Email
Personal Task,24-11-2024 16:41,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 16:54,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 16:54,Task details,Work,Email
Personal Task,24-11-2024 16:54,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 16:58,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 16:58,Task details,Work,Email
Personal Task,24-11-2024 16:58,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 16:59,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 16:59,Task details,Work,Email
Personal Task,24-11-2024 16:59,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 17:00,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 17:00,Task details,Work,Email
Personal Task,24-11-2024 17:00,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 17:00,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 17:00,Task details,Work,Email
Personal Task,24-11-2024 17:00,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 17:01,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 17:01,Task details,Work,Email
Personal Task,24-11-2024 17:01,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 17:01,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 17:01,Task details,Work,Email
Personal Task,24-11-2024 17:01,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 17:02,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 17:02,Task details,Work,Email
Personal Task,24-11-2024 17:02,Personal task details,Personal,None
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Today Event,24-11-2024 17:14,Today's task,Work,Email
Meeting,22-11-2024 15:00,Discuss project,Work,Email
Work Task,24-11-2024 17:14,Task details,Work,Email
Personal Task,24-11-2024 17:14,Personal task details,Personal,None
